Executing fixed runner now.
Test being executed: org.apache.ambari.server.state.kerberos.KerberosDescriptorUpdateHelperTest.testUpdateServices
Test being executed: org.apache.ambari.server.state.AlertTest.testSetTextMiddleEllipsizing
Test being executed: org.apache.ambari.server.state.kerberos.KerberosDescriptorTest.testUpdate
Test being executed: org.apache.ambari.server.state.kerberos.KerberosServiceDescriptorTest.testUpdate
Test being executed: org.apache.ambari.server.state.kerberos.KerberosDescriptorTest.testMapDeserialize
Test being executed: org.apache.ambari.server.state.kerberos.KerberosDescriptorTest.testEquals
Test being executed: org.apache.ambari.server.state.kerberos.KerberosDescriptorTest.testGetPath
Test being executed: org.apache.ambari.server.state.kerberos.KerberosDescriptorUpdateHelperTest.testUpdateIdentities
Test being executed: org.apache.ambari.server.state.kerberos.KerberosServiceDescriptorTest.testEquals
Test being executed: org.apache.ambari.server.state.kerberos.KerberosComponentDescriptorTest.testUpdate
Test being executed: org.apache.ambari.server.state.kerberos.KerberosDescriptorTest.testJSONDeserialize
Test being executed: org.apache.ambari.server.state.kerberos.KerberosServiceDescriptorTest.testToMap
Test being executed: org.apache.ambari.server.state.kerberos.KerberosDescriptorTest.testFromMapViaGSON
Test being executed: org.apache.ambari.server.state.kerberos.KerberosComponentDescriptorTest.testEquals
Test being executed: org.apache.ambari.server.checks.HealthCheckTest.testWarningWhenCriticalAlertExists
Test being executed: org.apache.ambari.server.checks.HealthCheckTest.testWarningWhenWarningAlertExists
Test being executed: org.apache.ambari.server.state.kerberos.KerberosServiceDescriptorTest.testJSONDeserialize
Test being executed: org.apache.ambari.server.state.kerberos.KerberosServiceDescriptorTest.testJSONDeserializeMultiple
Test being executed: org.apache.ambari.server.state.kerberos.KerberosDescriptorTest.testIdentityReferences
Test being executed: org.apache.ambari.server.state.kerberos.KerberosServiceDescriptorTest.testMapDeserialize
Test being executed: org.apache.ambari.server.state.kerberos.KerberosDescriptorTest.testToMap
Test being executed: org.apache.ambari.server.state.alerts.AlertDefinitionEqualityTest.testAlertDefinitionEquality
Test being executed: org.apache.ambari.server.checks.HostsRepositoryVersionCheckTest.testPerform
Test being executed: org.apache.ambari.server.state.kerberos.KerberosIdentityDescriptorTest.testEquals
Test being executed: org.apache.ambari.server.state.kerberos.KerberosIdentityDescriptorTest.testUpdate
Test being executed: org.apache.ambari.server.state.quicklinksprofile.QuickLinksProfileBuilderTest.testBuildProfileBothGlobalAndServiceFilters
Test being executed: org.apache.ambari.server.state.host.HostImplTest.testGetHostAttributes
Test being executed: org.apache.ambari.server.state.kerberos.KerberosComponentDescriptorTest.testToMap
Test being executed: org.apache.ambari.server.state.quicklinksprofile.QuickLinksProfileBuilderTest.testBuildProfileOnlyServiceFilters
Test being executed: org.apache.ambari.server.state.kerberos.KerberosDescriptorTest.testGetReferences
Test being executed: org.apache.ambari.server.state.kerberos.KerberosIdentityDescriptorTest.testJSONDeserialize
Test being executed: org.apache.ambari.server.checks.ServiceCheckValidityCheckTest.testFailWhenServiceWithOutdatedServiceCheckExists
Test being executed: org.apache.ambari.server.checks.ServiceCheckValidityCheckTest.testFailWhenServiceWithOutdatedServiceCheckExistsRepeated
Test being executed: org.apache.ambari.server.checks.ServiceCheckValidityCheckTest.testPassWhenSimilarlyNamedServiceIsOutdated
Test being executed: org.apache.ambari.server.checks.ServiceCheckValidityCheckTest.testWithNullCommandDetailAtCommand
Test being executed: org.apache.ambari.server.state.kerberos.KerberosComponentDescriptorTest.testJSONDeserialize
Test being executed: org.apache.ambari.server.state.quicklinksprofile.QuickLinkVisibilityControllerTest.testGlobalFiltersEvaluatedLast
Test being executed: org.apache.ambari.server.state.quicklinksprofile.QuickLinkVisibilityControllerTest.testNoMatchingRule
Test being executed: org.apache.ambari.server.state.quicklinksprofile.QuickLinkVisibilityControllerTest.testServiceLevelFiltersEvaluatedSecondly
Test being executed: org.apache.ambari.server.checks.ServiceCheckValidityCheckTest.testFailWhenServiceWithNoServiceCheckExists
Test being executed: org.apache.ambari.server.state.quicklinksprofile.QuickLinkVisibilityControllerTest.testComponentLevelFiltersEvaluatedFirst
Test being executed: org.apache.ambari.server.state.kerberos.KerberosIdentityDescriptorTest.testMapDeserialize
Test being executed: org.apache.ambari.server.state.quicklinksprofile.QuickLinkVisibilityControllerTest.testLinkWithNoComponentField
Test being executed: org.apache.ambari.server.state.action.JobTest.reInitCompletedJob
Test being executed: org.apache.ambari.server.state.kerberos.KerberosIdentityDescriptorTest.testToMap
Test being executed: org.apache.ambari.server.state.kerberos.KerberosComponentDescriptorTest.testMapDeserialize
Test being executed: org.apache.ambari.server.state.UpgradeContextTest.testFullUpgrade
Test being executed: org.apache.ambari.server.checks.ConfigurationMergeCheckTest.testPerform
Test being executed: org.apache.ambari.server.state.CheckHelperTest.testPreUpgradeCheck
Test being executed: org.apache.ambari.server.state.kerberos.KerberosDescriptorUpdateHelperTest.testUpdateConfigurations
Test being executed: org.apache.ambari.server.controller.AuthToLocalBuilderTest.testRuleGeneration
Test being executed: org.apache.ambari.server.state.quicklinksprofile.QuickLinkVisibilityControllerTest.testNullsAreAccepted
Test being executed: org.apache.ambari.server.state.kerberos.KerberosIdentityDescriptorTest.testShouldInclude
Test being executed: org.apache.ambari.server.checks.ComponentExistsInRepoCheckTest.testCheckFailsWhenComponentExistsButIsDeleted
Test being executed: org.apache.ambari.server.checks.ComponentExistsInRepoCheckTest.testCheckFailsWhenComponentIsMissing
Test being executed: org.apache.ambari.server.checks.ComponentExistsInRepoCheckTest.testCheckFailsWhenServiceExistsButIsDeleted
Test being executed: org.apache.ambari.server.checks.ComponentExistsInRepoCheckTest.testCheckFailsWhenServiceIsMissing
